Country	Type	Mountain	Latitude	Longitude	Elevation
Pakistan	Mountain	Chhatri Mountain	33.305527	74.105762	???? m	empty String
Philippines	Mountain    Mount Tungtayan	16.833333	120.650000	1600 m	Index 5 out of bounds for length 5
Philippines	Mountain	Mount Llorente	10966	122.316728	1344 m	Latitude out of range
Russia	Mountain	Mount Dyultydag    41.956700	46.926300	4127 m	Index 5 out of bounds for length 5
Philippines	Mountain	Mount Orcog	16.483190	121.000028	???? m	empty String
South Africa    Mountain	Kanonkop	-29.248007	17.736402	948 m	Index 5 out of bounds for length 5
South Africa    Mountain	Rietberg	-29.485528	17.883860	1313 m	Index 5 out of bounds for length 5
South Africa	Mountain	Koeberg	-33.716387	18.555995 351 m	Index 5 out of bounds for length 5
South Africa	Mountain	Bordje	??????	??????	245 m	Invalid latitude or longitude
South Africa	Mountain	Groot Phesantekraal	-33.798438	18.676031 95 m	Index 5 out of bounds for length 5
South Africa	Mountain	Wemmershoekpiek    -33.854240	19.189038	1687 m	Index 5 out of bounds for length 5
South Africa	Mountain	Spitskop	??????	??????	1204 m	Invalid latitude or longitude
South Africa	Mountain	Vaalkop	-25.567645	26265	1402 m	Longitude out of range
South Africa	Mountain    Tama Kgoshi	-24.724481	30.048128	1883 m	Index 5 out of bounds for length 5
South Africa    Mountain	Nyunyani	-22.823021	31.125341	454 m	Index 5 out of bounds for length 5
South Africa	Mountain	Bokweni    -27.369997	31.986502	675 m	Index 5 out of bounds for length 5
South Africa	Mountain	Kamrant	-30.882623 23.054610	1263 m	Index 5 out of bounds for length 5
South Africa	Mountain	Bloukop	-29.050638	26.583792	???? m	empty String
South Africa	Mountain	Grootberg	-32.222850	23.867171	???? m	empty String
South Africa	Mountain	Beyersfontein    -32.344544	23.357161	1123 m	Index 5 out of bounds for length 5
South Africa	Mountain	Spitskop	-32767	24.146866	958 m	Latitude out of range
South Africa	Mountain	Nsaly	-28.906220 30.617121	1338 m	Index 5 out of bounds for length 5
South Africa	Mountain	Nkengeni	-30.048407	30.187172 898 m	Index 5 out of bounds for length 5
Taiwan	Mountain    Hong Mountain	24.444876	118.239261	80 m	Index 5 out of bounds for length 5
Taiwan	Mountain	Hutou Mountain	??????	??????	61 m	Invalid latitude or longitude
Taiwan	Mountain	Dapingshan	22.981928	120.355842 68 m	Index 5 out of bounds for length 5
Taiwan    Mountain	Beinan Main Mountain	23.051081	120.874347	3293 m	Index 5 out of bounds for length 5
Taiwan	Mountain    Neipo Mountain	24.946188	121.455944	368 m	Index 5 out of bounds for length 5
Taiwan	Mountain	Poluo Mountain	24.639374	121.477071	???? m	empty String
Taiwan	Mountain	Pingfong Mountain	24.149645	121342	3248 m	Longitude out of range
Taiwan	Mountain    Qilai Mountain	24.086174	121.323328	3559 m	Index 5 out of bounds for length 5
Tanzania	Mountain	Parmusani    -8.834315	34.804419	1658 m	Index 5 out of bounds for length 5
United States	Mountain	Square Peak	48.866409	-114.104519 2675 m	Index 5 out of bounds for length 5
United States    Mountain	Fresno Dome	37.452666	-119.546666	2298 m	Index 5 out of bounds for length 5
United States	Mountain	Clements Mountain	48.692433	-113.741026	???? m	empty String
Venezuela	Mountain	Cerro La Yegüera	??????	??????	255 m	Invalid latitude or longitude
Namibia	Mountain	Platkop    -24.627984	16.568174	1501 m	Index 5 out of bounds for length 5
Namibia	Mountain	Nagel	-25317	16.222028	1562 m	Latitude out of range
Namibia	Mountain	Hahnenkarn	-25.643697 16.463153	1864 m	Index 5 out of bounds for length 5
Namibia    Mountain	Ganaams	-25.583271	16.568878	1928 m	Index 5 out of bounds for length 5
Namibia	Mountain    Rotkuppe	-27.058584	15.586578	592 m	Index 5 out of bounds for length 5
Namibia    Mountain	Eroseck	-22.515506	17.142596	1888 m	Index 5 out of bounds for length 5
Namibia	Mountain	Bitter	??????	??????	1002 m	Invalid latitude or longitude
Sri Lanka	Mountain	Little Adam's Peak	6.865050	81.063017 1151 m	Index 5 out of bounds for length 5
Sri Lanka	Mountain	Buwalpola Kanda    6.974863	80.881605	1681 m	Index 5 out of bounds for length 5
Chile	Mountain	Alto de las Placetas	-34.855087	-70.469549	???? m	empty String
Chile	Mountain	Cerro Tres Horquetas	-39.022835	-71916	1533 m	Longitude out of range
Chile	Mountain	Cerro Rincón de Abra	??????	??????	725 m	Invalid latitude or longitude
Chile    Mountain	Cerro Risco Bayo	-34.299958	-71.218016	901 m	Index 5 out of bounds for length 5
Chile	Mountain	Cerro Mancumán	-34.414249	-71.345908	???? m	empty String
Chile	Mountain	Cerro El Jote	-29.995756	-71.170221 839 m	Index 5 out of bounds for length 5
Chile    Mountain	Cerro Moreno	-22.982317	-67.153988	4524 m	Index 5 out of bounds for length 5
Chile    Mountain	Cerro El Mirador	-39.202113	-72.610524	520 m	Index 5 out of bounds for length 5
Chile	Mountain	Cerro Las Sierrecillas	-33.966890	-70.856538	???? m	empty String
Colombia    Mountain	Cerro	7.291370	-72.806362	4008 m	Index 5 out of bounds for length 5
Ecuador	Mountain	Genovesa	??????	??????	64 m	Invalid latitude or longitude
Ecuador	Mountain	Ilaló    -0.258002	-78.410616	3150 m	Index 5 out of bounds for length 5
Ecuador	Mountain	Cuniburo	-0.037132	-78.152913 3346 m	Index 5 out of bounds for length 5
Ecuador	Mountain	Cerro Arquitecto	??????	??????	4307 m	Invalid latitude or longitude
Ecuador	Mountain	Cerro Cabeza	-0.999432	-78.876824	???? m	empty String
Ecuador	Mountain	El Centinela    -0.478938	-79.030175	2570 m	Index 5 out of bounds for length 5
Ethiopia	Mountain	Ualle Issi	11.420321	41.326805 492 m	Index 5 out of bounds for length 5
Andorra    Mountain	Casamanya Peak	42.584607	1.565447	2740 m	Index 5 out of bounds for length 5
Fiji	Mountain	Korokayiu	-18.183330	177900	312 m	Longitude out of range
Fiji	Mountain	Tomuna    -17.650000	178.783330	272 m	Index 5 out of bounds for length 5
Germany	Mountain	Hinterreintalschrofen	??????	??????	2670 m	Invalid latitude or longitude
